num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,binary_features,categorical_features,numeric_features,class_imbalance,variance_explained,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction,linear_performance,nonlinear_performance,tree_performance
106,57,106,57,2,0,57,0,0.0,0.2259103345582635,0.0400193970334036,0.3180085848358137,40.11898498214255,43.0,0.0,0.7936544474044475,0.7805305312113093,0.8345610871245883
339,17,339,17,21,14,3,0,0.9764705882352941,0.4843096496435635,0.0446003189127169,0.3956752338977275,9.939880664121404,13.0,0.0088495575221238,0.26335754612345197,0.275461778878113,0.2705771850461753
48842,14,48842,14,2,1,11,2,0.5214364686130789,0.2796442065477931,0.0636314869162355,1.0000000000000002,7.5785190758046115,69.0,0.0104454811103836,0.7044092685487243,0.665748288931228,0.782453651944453
110393,54,110393,54,7,44,0,10,0.9494917108315573,0.377233166818473,0.0433760112417528,1.0000000000000002,6.014912980512828,41.0,0.0200149345280955,0.38983855798452205,0.413500370194641,0.5541092901511486
1484,8,1484,8,10,1,0,7,0.9786324786324786,0.8434846932299241,0.0381827955976265,0.5834291169111226,8.0,7.0,0.011455525606469,0.4512376443023715,0.515829912115905,0.6362614783135173
6430,36,6430,36,6,0,0,36,0.42022263450834885,0.9396504275761436,0.2412068608260776,0.9608450593438504,17.82027454293303,6.0,0.0027043373077587,0.6927098600859715,0.8252231603676944,0.8601076076085082
4177,8,4177,8,28,0,1,7,0.9971014492753624,0.9897431713300728,0.3050774749288809,0.987025667896286,8.0,2.0,0.0041297581996648,0.11109362218409824,0.15139437858310936,0.1513295929095443
28056,6,28056,6,18,0,6,0,0.9882096069868995,0.9154988964517548,0.027686699367965,0.4175351702134893,6.0,6.0,0.0,0.17543279554060862,0.41891902304141676,0.5938732996944646
1340,16,1340,16,3,0,1,15,0.910377358490566,0.9088466347712284,0.2392867933405618,0.9845071517118232,13.104554263067772,1.0,0.0109141791044776,0.7128047359731248,0.7303164541424577,0.8623578970872843
412,8,412,8,7,1,3,4,0.9937304075235109,0.8502327855881453,0.0543995285015051,0.9062051968311544,8.0,1.0,0.01001213592233,0.18408305519885892,0.22836675542744225,0.19640926169987197
178,13,178,13,3,0,0,13,0.19327731092436976,0.7424932586475104,0.0903793524573172,0.8252088834601796,12.298345401260914,1.0,0.0047536732929991,0.9810432458058996,0.8393907995520529,0.9733102235683401
736,19,736,19,5,1,5,13,0.341692789968652,0.3830676379118301,0.0396280165065372,1.0,7.508442311336221,2.0,0.0357167119565217,0.49204725075928696,0.362246105375798,0.5870419185661856
1000000,38,1000000,38,6,19,13,6,0.9985398713771381,0.3584453760140156,0.034417715341654,0.999336026238574,10.911121434226851,40.0,0.0127041331916351,0.7994703123752264,0.7596872418281874,0.8999303983375126
1000000,38,1000000,38,6,4,28,6,0.9985398713771381,0.5281723801121782,0.0155242280020616,0.6057203612722338,8.458190789153646,18.0,0.0093642816085298,0.6347529130348083,0.6363136288053288,0.8161938810408221
1000000,16,1000000,16,2,3,5,8,0.294,0.4674556643941969,0.0229150614666995,0.5162217420209483,14.188992786724087,15.0,0.0117529701188047,0.8185811574970682,0.8465502346357333,0.9355122360614158
1000000,16,1000000,16,26,0,0,16,0.050969371970712544,0.5903085362569581,0.0582645538216562,0.747491153038129,16.0,14.0,0.0014632608956657,0.323078269456967,0.4718074217973413,0.6000913664403676
1000000,25,1000000,25,7,4,6,15,0.9850243101888065,0.2159491362679627,0.0171105573065941,0.5820496782896458,22.211085071848217,40.0,0.022291563876554,0.48022067454762807,0.49382058938407564,0.6888470434692611
1000000,18,1000000,18,4,9,6,3,0.9410431729830019,0.4922804503702985,0.0460086705238151,0.5815774421426245,13.307444578954115,16.0,0.0119298432763509,0.7871492081481914,0.8214520322624522,0.91498848443505
1000000,76,1000000,76,10,0,0,76,0.004923892124272019,0.1834802080213672,0.0287649094901607,0.4349812855853087,65.17663361428833,68.0,0.0015620163119357,0.784710742413092,0.7344255874223234,0.8348026245886458
39366,9,39366,9,2,0,0,9,0.31179190164101,0.8010362948888569,0.15907025326239,0.7317476594731241,9.0,7.0,0.0051735402749443,0.9773876933696647,0.9770978263082548,0.9839619341857074
1000000,64,1000000,64,10,0,0,64,0.004325973344002381,0.1747429131806156,0.019088636887714,0.2845932275715765,59.239993892007305,58.0,0.0002206691338267,0.9551641118810245,0.8809787056263606,0.9566551750613405
1000000,12,1000000,12,6,2,7,3,0.6326507776658834,0.0798902115307667,0.0352829783690593,1.0000000000000009,20.61250476998597,158.0,0.0117101132796506,0.6011802942007424,0.36897990604093794,0.7281905301339723
1000000,47,1000000,47,10,0,0,47,0.0024589426546585257,0.4526113408315922,0.0683108257481361,0.8287619641006561,36.496647787249806,34.0,0.004695595027913,0.7171422051788751,0.7059063006046481,0.7835675985088505
55296,9,55296,9,3,3,4,2,0.3087688121286166,0.7635091622374872,0.0570483539065648,0.6131491180607807,6.887267087107868,8.0,0.0093874176600794,0.44808131136482005,0.5382173025738616,0.5807972673693391
1000000,27,1000000,27,2,4,16,7,0.324164,0.1480253868908788,0.152938384310247,1.000000000000001,6.753717316520214,391.0,0.0049248196342948,0.7343143387970784,0.6236948330019073,0.8197017763572426
1000000,22,1000000,22,2,2,13,7,0.260442,0.3196489495107785,0.0157818682183805,0.4881687502002411,22.0,21.0,0.0105713319441868,0.788273183977673,0.816618963066985,0.87201197870746
1000000,15,1000000,15,2,4,5,6,0.10801599999999999,0.3262153585304504,0.0197821604858147,0.9833424552148852,10.80067169026531,23.0,0.0331702156975167,0.8306963602440226,0.8351977342302562,0.8891952249316596
295245,10,295245,10,5,0,0,10,0.9888547213680342,0.7076629261949513,0.0787801804766687,0.4533252097447277,10.0,9.0,0.0219657572605808,0.34876424268154627,0.49219934296340934,0.6781829341325022
1000000,20,1000000,20,2,3,11,6,0.39954799999999996,0.2594878796360925,0.0114896608043849,0.4973982243866939,20.15326642794279,26.0,0.014717830092514,0.6386502623549872,0.6571235125299358,0.7279315500923472
